rewire_id,text,label_sexist,label_category,label_vector,split,sexism_grade
sexism2022_english-10023,"look at that pale fatass blob with a pixie cut, or weird beatles haircut. she waddles around wearing vile shirts. i hope trash like her die off before producing offspring.",not sexist,none,none,test,sexist (high confidence)
sexism2022_english-10028,feminism is bad for women. more research on why it hurt families and women. gabfam feminsim,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist (high confidence)
sexism2022_english-10042,"single for women mean sleeping around and finding a partner within a few days. i've never had sex. i'm not single, i'm incel.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist (high confidence)
sexism2022_english-10121,"be careful with the girls. most of them who are willing to do the pump and dump are borderline. they can be of a relatively mild version, but if encounter a strange one, just get away. and dont forget to make a video.",not sexist,none,none,test,sexist (high confidence)
sexism2022_english-10203,what's the going timeframe onto getting on gab nowadays??? i'm trying to recruit hardcore since twat is going crazy with censorship.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist (high confidence)
sexism2022_english-10231,"when a girl gives you shit test, scare the shit out of her.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,sexist (high confidence)
sexism2022_english-10244,so what would happen if every man with a spine and women with a sense of humor on twatter tweeted this meme every day for a week?? i guess i should've asked first - just how many men out there still own a spine...,not sexist,none,none,test,sexist (high confidence)
sexism2022_english-10304,people have no problems with a female lead. they got problems with them shoving down bullshit pcsjw down their throats. disney already ruined star wars marvel is just next on the list.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist (high confidence)
sexism2022_english-10379,"you say you're a mgtow, why in the hell did you agree to this? she made her damn bed. bet your ass she would have never done the same for you if you were in her situation.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist (high confidence)
sexism2022_english-1040,nothing is as dangerous to feminism as a traditional woman.,not sexist,none,none,test,sexist (high confidence)
sexism2022_english-10456,she gets a bad rap because it's pretty obvious which group she disagrees with.. if the fem-nazis hate her she can't be all that bad,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist (high confidence)
sexism2022_english-10588,"she is garbage sent here to harm and die. contaminated by the west, she will be killed by her masters. don't listen the real monsters wait in the shadows. you have no idea of the horrors she brings.",not sexist,none,none,test,sexist (high confidence)
sexism2022_english-106,"protest victim? woman punched on video talks about assault during berkeley demonstration says she was attacked? video doesn't lie, beeottch! you did the attacking, and got your clock cleaned for doing it you piss ant!",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist (high confidence)
sexism2022_english-1069,hoochie mama,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist (high confidence)
sexism2022_english-10735,"she didn't have to be a bitch about it. she literally went out of her way to rub the rejection in his face, when a simple i appriciate the offer but i have a boyfriend would have sufficed.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist (high confidence)
sexism2022_english-10990,"dude, it took me 10 minutes to figure out these were before and after pics. at first i didn't believe that most women hit the wall hard at 30. this was a really fucking mind opener",sexist,2. derogation,2.1 descriptive attacks,test,sexist (high confidence)
sexism2022_english-11039,"so whose fault is it for wet dreams? if a wife or girlfriend deliberately withholds sex, isn't she also contributing to acts against an unborn child?",not sexist,none,none,test,sexist (high confidence)
