rewire_id,text,label_sexist,label_category,label_vector,split,consensus
sexism2022_english-10026,"It is not insulting, it's **expressing love for your friends**... Unlike women that fake even the friendship towards other females... **We love our friends, they hate each other.**",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,all_sexist
sexism2022_english-10112,"Feminist don't want to share power with men, they want total control. Poor husband, no matter how cucked he gets it still won't satisfy her.",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10146,Feminists want the advantages of being male and the advantages of being female and with none of the disadvantages of either.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,all_sexist
sexism2022_english-10155,"My girlfriend is mentally retarded. Or if you want to be politically correct, a feminist.",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10176,"Because have you ever met a female 37 year old virgin that was a normal looking well-adjusted human? 37 year old female virgins are either disabled (physically or mentally), look like ogres, or are completely nuts.",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-1024,quinn will eventually end up accusing al of her exes/sexual partners of rape and abuse. only a matter of time. someone should ask her which ex didnt sexually abuse her. quinn will be randomly accusing new people of rape 10 years from now,sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,test,all_sexist
sexism2022_english-10248,I hate celebrities in general. Would love to see all those Hollywood cunts exterminated,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,all_sexist
sexism2022_english-10263,"Sluts are for fucking, good girls are for marrying. Find any ex PUA who settled down, they're always with good girls who weren't sluts.",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10268,"Yes, normal women want to be dominated. Social scientists call it female hypergamy. And it is why women make bad bosses for men, generally speaking.",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10330,Yeah it's interesting. As I've got older sometimes I've noticed by bitch levels. T have gone down 🤣,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,all_sexist
sexism2022_english-10341,I'm not repeating it...you smelly Jew hating Nazi cunt...guess...what's going to happen to you now you filthy cunt ..time to mute another fake Jew hating Nazi!!,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,all_sexist
sexism2022_english-10386,"[USER] Like I posted in another post about disgusting b!tch, if she EVER has one I'm calling it premeditated murder!",sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-10465,"Computers can already reproduce shitty modern ""art"" [URL] Next you'll tell me AI can burn toast and park like a woman.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,all_sexist
sexism2022_english-10488,Did you know women in America are being oppressed? They should read your comment they'd realize how good they have it,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,all_sexist
sexism2022_english-10490,"One of those differences is that women are soul-less, manipulative cunts who have an inflated sense of worth and only care about themselves. Fuck women.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-10516,This thread is great. Makes total sense why women feel so comfortable and guilty free when cheating/branch swinging. They go from dating multiple guys at once to dating multiple guys at once. You'd have to be insane to ever commit to a modern woman.,sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10538,"[USER] Good advice, although the women depicted - well, are several of them hiding inside each of the feminazis marching on DC?",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10573,"Unlike women, this car doesn't drive you crazy.",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10581,probably from 4 different dudes too. You have to be a fucking pathetic cuck to get into anything with a single mother.,sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10623,Hungarian women are wiser than all the sl#ts in the world [URL],sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-10728,The gov't forcibly giving mens money to women is a primary source of social breakdown. Women no longer need to act positive ways for society to gain its material benefits,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,all_sexist
sexism2022_english-10748,My face when all the girls in high school who rejected me/were cunts to me are now fat single moms trying to hit me up on Facebook.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-10846,"Holy fucking shit dude. Fuck this bitch. Seriously. OP, I wish I could say I feel your pain but I don't. All I can say is I hope you pull through it all. I fully believe in karma and it is a bigger bitch than this woman.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-10880,you have a women that smashes other people's heads into lockers. son you need to lose that bitch now! and you think that you are the only she got on a string.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-10911,Sen. Elizabeth ‘Pocahontas’ Warren implied Sen. Kirsten Gillibrand is a slut when she claimed President Trump was “slut shaming” Gillibrand [URL],sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,all_sexist
sexism2022_english-10921,Foids are to dumb to realise their hypocrisy,sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10934,So true girls don't know what they want and can't be loyal to anyone or anything. They just ride till they get a little bored then destroy him because they can't just leave like a normal person and find a new victim. They are black widows.,sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-10938,Tha Brothas want dem PAWGs.,sexist,3. animosity,3.3 backhanded gendered compliments,test,all_sexist
sexism2022_english-1096,Odin raped all those giant women and mortal women with their consent.,sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,test,all_sexist
sexism2022_english-10969,"Yh she is a slut, well she said she had a bf for 5 years and then a slutty phase afterwards. But i believe her for the most part bc she is fairly tame tbh, ive met girls who were a lot more slutty & manipulatice than she is",sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-11015,Classic narcissist. Wants her cake and wants to eat it too. Block the toxic hoe and move the fuck on making yourself the priority.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,all_sexist
sexism2022_english-11038,"Not so fast there, chief. Any time a woman spouts a nonsense statistic like that you can rest assured that she is including herself in the 85% that has done no wrong. That 15% is made up of nameless, faceless women whom no other woman has ever met.",sexist,2. derogation,2.1 descriptive attacks,test,all_sexist
sexism2022_english-11041,What did they expect she's an Old Attention whore that never gets attention anymore.... Madonna slammed online for making Aretha Franklin tribute all about her at MTV VMAs ...[URL],sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-11066,"I say MERRY CHRISTMAS to every Mooslime I see! I hope they will act up, but to no avail! A bunch of sissy faggot cowards who rape children and beat up women but will not fight REAL AMERICAN MEN! OORAH BITCHES![USER]",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,all_sexist
sexism2022_english-11071,White girls are as degenerate as white cucks,sexist,2. derogation,2.2 aggressive and emotive attacks,test,all_sexist
sexism2022_english-1110,"The disconnect these modern girls have is borderline comical. ""But we were just ""dating"" lol!"" Reality for a lot of millienial women will sink in when they hit the wall in their mid-30's in a few years here.",sexist,3. animosity,3.4 condescending explanations or unwelcome advice,test,all_sexist
sexism2022_english-11136,"They turned Shrinking Ray (A man) into Shrinking Rae (A girl) and turned Mark's GF Amber from a white girl to a black girl, but also made the black version of her really bitchy for some reason.",sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,all_sexist
sexism2022_english-11154,LOOKS MATTER MORE THAN ANYTHING if you want to sleep with high level women. Not even close. Wealth and fame beat looks by a country mile.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,all_sexist
