rewire_id,text,label_sexist,label_category,label_vector,split,sexism_grade
sexism2022_english-10016,"pls she makes me want to vomit, i do not want to see her face or give her any attention. no offense, dg.",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10047,"this sounds like it was written by a feminist troll who thinks she knows what mrp is about. that, or you are just a dick to your wife. and i mean figuratively not literally. a bully.",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10111,correction conservatives are prone to media witch hunts pinning dubious sex harassment claims on them. liberals are prone to media hiding their sex harassment cases for them,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-1015,she and her fans are the epitome of trash,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10196,brad pitt has an insane smv based on his celebrity status alone. he could get chubby and he would still have a bird of women wanting to suck his dick,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10229,she choose not to have children because she is a huge dike.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist (low confidence)
sexism2022_english-10256,i'd not mind being raped honestly if she's attractive.,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10278,welcome! i'm pretty liberal myself.. and ive found gab is more tolerant of things like gay marriage than twitter is for merely disagreeing that there are 66 genders and if you have a giant throbbing cock you can claim you are a woman! d,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10347,thats pretty much all females,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10350,to female bishops stop making fun of religion.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist (low confidence)
sexism2022_english-10369,some are suggesting it is trans hate' to say that women don't have penises surely it is simply a question of anatomical reality?,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist (low confidence)
sexism2022_english-10446,"well if you're a cuck then someone else is fucking your wife or gf. not sure where you're from but for most of us, that's not a good thing.",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-1045,donald trump got more fat women out walking in one day than michelle obama did in 8 years. womensmarch presidenttrump maga,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10610,as long as you give an explanation to your ratings you won't get banned. i love trolling girls there sometimes.,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10731,"that tall man must certaily be better with women because of his large muscles, big penis ... just imagine him naked, those perfect lines, naked muscles .... that is why i hate women",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist (low confidence)
sexism2022_english-10756,"how is that beta, the guy holds no threat so there's no point in you stepping down by making her think that you and this guy even the same level.",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10760,"sex in public. i was watching the last harry potter movie with my girlfriend. her response was no, there's people around. so we got up and walked to the back of the theater. did i rape my girlfriend?",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10857,it just means he was cute or attractive enough i don't think a married girl would want to hug a guy otherwise.,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10865,"your facial structure is fine, but you seriously need a skin care routine i'm talking moisturizer, face wash, toner, etc., a haircut, and a smile. do you know how to talk to girls?",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10894,real men aren't violent real women are if i said that on rfeminism i would be banned instantly and if i said it in real life i would be labeled a sexist. but since it's a man it's ok because men are violent aren't they?,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist (low confidence)
sexism2022_english-10950,certainly the username checks out. she should be more angry with her stupid mother for being careless.,not sexist,none,none,test,sexist (low confidence)
sexism2022_english-10985,"this is one of the most important observations about the feminine psyhe that can be made. the principle is completely erroneous, of course, but it is one that they all operate on.",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-11040,"the argument i cant change my height is a bad one. you are assuming women gaf about what is in your control. when a 710 has a plethora of guys to choose from, some will be tall, and she will choose accordingly. supply and demand",not sexist,none,none,test,sexist (low confidence)
sexism2022_english-11075,bigot! you think only women can fuck fish?? fair is fair!!! let's all fuck fish! are there tranny fish?,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist (low confidence)
sexism2022_english-11101,my first instinct would be to make fun of her for not knowing how to.,not sexist,none,none,test,sexist (low confidence)
