rewire_id,text,label_sexist,label_category,label_vector,split,consensus
sexism2022_english-10016,"Pls she makes me want to vomit, I do not want to see her face or give her any attention. no offense, DG.",not sexist,none,none,test,mixed
sexism2022_english-10023,"Look at that pale fatass blob with a pixie cut, or weird beatles haircut. She waddles around wearing vile shirts. I hope trash like her die off before producing offspring.",not sexist,none,none,test,mixed
sexism2022_english-10028,Feminism is bad for women. More research on why it hurt families and women. [URL] #GabFam #feminsim,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-10042,"Single for women mean sleeping around and finding a partner within a few days. I've never had sex. I'm not ""single"", I'm incel.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-10047,"This sounds like it was written by a feminist troll who thinks she knows what MRP is about. That, or you are just a dick to your wife. And i mean figuratively not literally. A bully.",not sexist,none,none,test,mixed
sexism2022_english-10111,Correction: Conservatives are prone to media witch hunts pinning dubious sex harassment claims on them. Liberals are prone to media hiding their sex harassment cases for them [URL],not sexist,none,none,test,mixed
sexism2022_english-10121,"Be careful with the girls. Most of them who are willing to do the pump and dump are borderline. They can be of a relatively mild version, but if encounter a strange one, just get away. And don’t forget to make a video.",not sexist,none,none,test,mixed
sexism2022_english-1015,She and her fans are the epitome of trash,not sexist,none,none,test,mixed
sexism2022_english-10196,Brad Pitt has an insane SMV based on his celebrity status alone. He could get chubby and he would still have a bird of women wanting to suck his dick,not sexist,none,none,test,mixed
sexism2022_english-10203,What's the going timeframe onto getting on GAB nowadays??? I'm trying to recruit hardcore since twat is going crazy with censorship.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,mixed
sexism2022_english-10229,She choose not to have children because she is a huge dike.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-10231,"When a girl gives you shit test, scare the shit out of her.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,test,mixed
sexism2022_english-10244,So what would happen if every man with a spine (and women with a sense of humor) on Twatter tweeted this meme every day for a week?? I guess I should've asked first - just how many men out there still own a spine...,not sexist,none,none,test,mixed
sexism2022_english-10256,I'd not mind being raped honestly if she's attractive.,not sexist,none,none,test,mixed
sexism2022_english-10278,Welcome! I'm pretty liberal myself.. and Ive found Gab is more tolerant of things like gay marriage than Twitter is for merely disagreeing that there are 66 genders and if you have a giant throbbing cock you can claim you are a woman! :D,not sexist,none,none,test,mixed
sexism2022_english-10304,People have no problems with a female lead. They got problems with them shoving down bullshit PC/SJW down their throats. Disney already ruined Star Wars Marvel is just next on the list.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-10347,That’s pretty much all females,not sexist,none,none,test,mixed
sexism2022_english-10350,To female Bishops stop making fun of religion.,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,mixed
sexism2022_english-10369,"Some are suggesting it is ""trans hate' to say that ""women don't have penises"" Surely it is simply a question of anatomical reality? [URL]",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,mixed
sexism2022_english-10379,"You say you're a MGTOW, why in the hell did you agree to this? She made her damn bed. Bet your ass she would have never done the same for you if you were in her situation.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,mixed
sexism2022_english-1040,"""Nothing is as dangerous to feminism as a traditional woman.""",not sexist,none,none,test,mixed
