rewire_id,text,label_sexist,label_category,label_vector,split,sexism_grade
sexism2022_english-10026,"it is not insulting, it's expressing love for your friends... unlike women that fake even the friendship towards other females... we love our friends, they hate each other.",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-10112,"feminist don't want to share power with men, they want total control. poor husband, no matter how cucked he gets it still won't satisfy her.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10146,feminists want the advantages of being male and the advantages of being female and with none of the disadvantages of either.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-10155,"my girlfriend is mentally retarded. or if you want to be politically correct, a feminist.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10176,"because have you ever met a female 37 year old virgin that was a normal looking well-adjusted human? 37 year old female virgins are either disabled physically or mentally, look like ogres, or are completely nuts.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-1024,quinn will eventually end up accusing al of her exessexual partners of rape and abuse. only a matter of time. someone should ask her which ex didnt sexually abuse her. quinn will be randomly accusing new people of rape 10 years from now,sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,test,sexist
sexism2022_english-10248,i hate celebrities in general. would love to see all those hollywood cunts exterminated,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-10263,"sluts are for fucking, good girls are for marrying. find any ex pua who settled down, they're always with good girls who weren't sluts.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10268,"yes, normal women want to be dominated. social scientists call it female hypergamy. and it is why women make bad bosses for men, generally speaking.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10330,yeah it's interesting. as i've got older sometimes i've noticed by bitch levels. t have gone down,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-10341,i'm not repeating it...you smelly jew hating nazi cunt...guess...what's going to happen to you now you filthy cunt ..time to mute another fake jew hating nazi!!,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",test,sexist
sexism2022_english-10386,"like i posted in another post about disgusting b!tch, if she ever has one i'm calling it premeditated murder!",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-10465,computers can already reproduce shitty modern art next you'll tell me ai can burn toast and park like a woman.,sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,test,sexist
sexism2022_english-10488,did you know women in america are being oppressed? they should read your comment they'd realize how good they have it,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-10490,"one of those differences is that women are soul-less, manipulative cunts who have an inflated sense of worth and only care about themselves. fuck women.",sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-10516,this thread is great. makes total sense why women feel so comfortable and guilty free when cheatingbranch swinging. they go from dating multiple guys at once to dating multiple guys at once. you'd have to be insane to ever commit to a modern woman.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10538,"good advice, although the women depicted - well, are several of them hiding inside each of the feminazis marching on dc?",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10573,"unlike women, this car doesn't drive you crazy.",sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10581,probably from 4 different dudes too. you have to be a fucking pathetic cuck to get into anything with a single mother.,sexist,2. derogation,2.1 descriptive attacks,test,sexist
sexism2022_english-10623,hungarian women are wiser than all the slts in the world,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
sexism2022_english-10728,the gov't forcibly giving mens money to women is a primary source of social breakdown. women no longer need to act positive ways for society to gain its material benefits,sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,test,sexist
sexism2022_english-10748,my face when all the girls in high school who rejected mewere cunts to me are now fat single moms trying to hit me up on facebook.,sexist,2. derogation,2.2 aggressive and emotive attacks,test,sexist
